"","x","study_name","sample_number","species","region","island","stage","individual_id","clutch_completion","date_egg","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g","sex"
"26",26,"PAL0708",26,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N13A2","Yes","2007-11-10",35.3,18.9,187,3800,"FEMALE"
"27",27,"PAL0708",27,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N17A1","Yes","2007-11-12",40.6,18.6,183,3550,"MALE"
"28",28,"PAL0708",28,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N17A2","Yes","2007-11-12",40.5,17.9,187,3200,"FEMALE"
"29",29,"PAL0708",29,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N18A1","No","2007-11-10",37.9,18.6,172,3150,"FEMALE"
"30",30,"PAL0708",30,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N18A2","No","2007-11-10",40.5,18.9,180,3950,"MALE"
"31",31,"PAL0708",31,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N21A1","Yes","2007-11-09",39.5,16.7,178,3250,"FEMALE"
"32",32,"PAL0708",32,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N21A2","Yes","2007-11-09",37.2,18.1,178,3900,"MALE"
"33",33,"PAL0708",33,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N22A1","Yes","2007-11-09",39.5,17.8,188,3300,"FEMALE"
"34",34,"PAL0708",34,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N22A2","Yes","2007-11-09",40.9,18.9,184,3900,"MALE"
"35",35,"PAL0708",35,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N23A1","Yes","2007-11-16",36.4,17,195,3325,"FEMALE"
"36",36,"PAL0708",36,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N23A2","Yes","2007-11-16",39.2,21.1,196,4150,"MALE"
"37",37,"PAL0708",37,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N24A1","Yes","2007-11-16",38.8,20,190,3950,"MALE"
"38",38,"PAL0708",38,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N24A2","Yes","2007-11-16",42.2,18.5,180,3550,"FEMALE"
"39",39,"PAL0708",39,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N25A1","No","2007-11-13",37.6,19.3,181,3300,"FEMALE"
"40",40,"PAL0708",40,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N25A2","No","2007-11-13",39.8,19.1,184,4650,"MALE"
"41",41,"PAL0708",41,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N26A1","Yes","2007-11-16",36.5,18,182,3150,"FEMALE"
"42",42,"PAL0708",42,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N26A2","Yes","2007-11-16",40.8,18.4,195,3900,"MALE"
"43",43,"PAL0708",43,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N27A1","Yes","2007-11-19",36,18.5,186,3100,"FEMALE"
"44",44,"PAL0708",44,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N27A2","Yes","2007-11-19",44.1,19.7,196,4400,"MALE"
"45",45,"PAL0708",45,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N28A1","Yes","2007-11-16",37,16.9,185,3000,"FEMALE"
"46",46,"PAL0708",46,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N28A2","Yes","2007-11-16",39.6,18.8,190,4600,"MALE"
"47",47,"PAL0708",47,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N29A1","Yes","2007-11-13",41.1,19,182,3425,"MALE"
"48",48,"PAL0708",48,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N29A2","Yes","2007-11-13",37.5,18.9,179,2975,NA
"49",49,"PAL0708",49,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N30A1","Yes","2007-11-13",36,17.9,190,3450,"FEMALE"
"50",50,"PAL0708",50,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N30A2","Yes","2007-11-13",42.3,21.2,191,4150,"MALE"
"51",51,"PAL0809",51,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N21A1","Yes","2008-11-06",39.6,17.7,186,3500,"FEMALE"
"52",52,"PAL0809",52,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N21A2","Yes","2008-11-06",40.1,18.9,188,4300,"MALE"
"53",53,"PAL0809",53,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N22A1","Yes","2008-11-09",35,17.9,190,3450,"FEMALE"
"54",54,"PAL0809",54,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N22A2","Yes","2008-11-09",42,19.5,200,4050,"MALE"
"55",55,"PAL0809",55,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N23A1","Yes","2008-11-09",34.5,18.1,187,2900,"FEMALE"
"56",56,"PAL0809",56,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N23A2","Yes","2008-11-09",41.4,18.6,191,3700,"MALE"
"57",57,"PAL0809",57,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N24A1","Yes","2008-11-15",39,17.5,186,3550,"FEMALE"
"58",58,"PAL0809",58,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N24A2","Yes","2008-11-15",40.6,18.8,193,3800,"MALE"
"59",59,"PAL0809",59,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N25A1","Yes","2008-11-15",36.5,16.6,181,2850,"FEMALE"
"60",60,"PAL0809",60,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N25A2","Yes","2008-11-15",37.6,19.1,194,3750,"MALE"
"61",61,"PAL0809",61,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N27A1","Yes","2008-11-13",35.7,16.9,185,3150,"FEMALE"
"62",62,"PAL0809",62,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N27A2","Yes","2008-11-13",41.3,21.1,195,4400,"MALE"
"63",63,"PAL0809",63,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N28A1","Yes","2008-11-13",37.6,17,185,3600,"FEMALE"
"64",64,"PAL0809",64,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N28A2","Yes","2008-11-13",41.1,18.2,192,4050,"MALE"
"65",65,"PAL0809",65,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N29A1","Yes","2008-11-13",36.4,17.1,184,2850,"FEMALE"
"66",66,"PAL0809",66,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N29A2","Yes","2008-11-13",41.6,18,192,3950,"MALE"
"67",67,"PAL0809",67,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N30A1","Yes","2008-11-06",35.5,16.2,195,3350,"FEMALE"
"68",68,"PAL0809",68,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N30A2","Yes","2008-11-06",41.1,19.1,188,4100,"MALE"
"69",69,"PAL0809",69,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N32A1","No","2008-11-11",35.9,16.6,190,3050,"FEMALE"
"70",70,"PAL0809",70,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N32A2","No","2008-11-11",41.8,19.4,198,4450,"MALE"
"71",71,"PAL0809",71,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N34A1","Yes","2008-11-14",33.5,19,190,3600,"FEMALE"
"72",72,"PAL0809",72,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N34A2","Yes","2008-11-14",39.7,18.4,190,3900,"MALE"
"73",73,"PAL0809",73,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N35A1","Yes","2008-11-11",39.6,17.2,196,3550,"FEMALE"
"74",74,"PAL0809",74,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N35A2","Yes","2008-11-11",45.8,18.9,197,4150,"MALE"
"75",75,"PAL0809",75,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N36A1","Yes","2008-11-08",35.5,17.5,190,3700,"FEMALE"
"76",76,"PAL0809",76,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N36A2","Yes","2008-11-08",42.8,18.5,195,4250,"MALE"
"77",77,"PAL0809",77,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N37A1","Yes","2008-11-06",40.9,16.8,191,3700,"FEMALE"
"78",78,"PAL0809",78,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N37A2","Yes","2008-11-06",37.2,19.4,184,3900,"MALE"
"79",79,"PAL0809",79,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N38A1","Yes","2008-11-09",36.2,16.1,187,3550,"FEMALE"
"80",80,"PAL0809",80,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N38A2","Yes","2008-11-09",42.1,19.1,195,4000,"MALE"
"81",81,"PAL0809",81,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N39A1","Yes","2008-11-02",34.6,17.2,189,3200,"FEMALE"
"82",82,"PAL0809",82,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N39A2","Yes","2008-11-02",42.9,17.6,196,4700,"MALE"
"83",83,"PAL0809",83,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N40A1","Yes","2008-11-07",36.7,18.8,187,3800,"FEMALE"
"84",84,"PAL0809",84,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N40A2","Yes","2008-11-07",35.1,19.4,193,4200,"MALE"
"85",85,"PAL0809",85,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N41A1","Yes","2008-11-17",37.3,17.8,191,3350,"FEMALE"
"86",86,"PAL0809",86,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N41A2","Yes","2008-11-17",41.3,20.3,194,3550,"MALE"
"87",87,"PAL0809",87,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N42A1","Yes","2008-11-08",36.3,19.5,190,3800,"MALE"
"88",88,"PAL0809",88,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N42A2","Yes","2008-11-08",36.9,18.6,189,3500,"FEMALE"
"89",89,"PAL0809",89,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N44A1","Yes","2008-11-08",38.3,19.2,189,3950,"MALE"
"90",90,"PAL0809",90,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N44A2","Yes","2008-11-08",38.9,18.8,190,3600,"FEMALE"
"91",91,"PAL0809",91,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N45A1","Yes","2008-11-14",35.7,18,202,3550,"FEMALE"
"92",92,"PAL0809",92,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N45A2","Yes","2008-11-14",41.1,18.1,205,4300,"MALE"
"93",93,"PAL0809",93,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N46A1","Yes","2008-11-05",34,17.1,185,3400,"FEMALE"
"94",94,"PAL0809",94,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N46A2","Yes","2008-11-05",39.6,18.1,186,4450,"MALE"
"95",95,"PAL0809",95,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N48A1","Yes","2008-11-17",36.2,17.3,187,3300,"FEMALE"
"96",96,"PAL0809",96,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N48A2","Yes","2008-11-17",40.8,18.9,208,4300,"MALE"
"97",97,"PAL0809",97,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N49A1","Yes","2008-11-08",38.1,18.6,190,3700,"FEMALE"
"98",98,"PAL0809",98,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N49A2","Yes","2008-11-08",40.3,18.5,196,4350,"MALE"
"99",99,"PAL0809",99,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N50A1","Yes","2008-11-10",33.1,16.1,178,2900,"FEMALE"
"100",100,"PAL0809",100,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N50A2","Yes","2008-11-10",43.2,18.5,192,4100,"MALE"
"101",101,"PAL0910",101,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N47A1","Yes","2009-11-09",35,17.9,192,3725,"FEMALE"
"102",102,"PAL0910",102,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N47A2","Yes","2009-11-09",41,20,203,4725,"MALE"
"103",103,"PAL0910",103,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N49A1","Yes","2009-11-15",37.7,16,183,3075,"FEMALE"
"104",104,"PAL0910",104,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N49A2","Yes","2009-11-15",37.8,20,190,4250,"MALE"
"105",105,"PAL0910",105,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N51A1","Yes","2009-11-15",37.9,18.6,193,2925,"FEMALE"
"106",106,"PAL0910",106,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N51A2","Yes","2009-11-15",39.7,18.9,184,3550,"MALE"
"107",107,"PAL0910",107,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N53A1","Yes","2009-11-15",38.6,17.2,199,3750,"FEMALE"
"108",108,"PAL0910",108,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N53A2","Yes","2009-11-15",38.2,20,190,3900,"MALE"
"109",109,"PAL0910",109,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N55A1","Yes","2009-11-20",38.1,17,181,3175,"FEMALE"
"110",110,"PAL0910",110,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N55A2","Yes","2009-11-20",43.2,19,197,4775,"MALE"
"111",111,"PAL0910",111,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N58A1","Yes","2009-11-12",38.1,16.5,198,3825,"FEMALE"
"112",112,"PAL0910",112,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N58A2","Yes","2009-11-12",45.6,20.3,191,4600,"MALE"
"113",113,"PAL0910",113,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N60A1","Yes","2009-11-15",39.7,17.7,193,3200,"FEMALE"
"114",114,"PAL0910",114,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N60A2","Yes","2009-11-15",42.2,19.5,197,4275,"MALE"
"115",115,"PAL0910",115,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N61A1","Yes","2009-11-17",39.6,20.7,191,3900,"FEMALE"
"116",116,"PAL0910",116,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N61A2","Yes","2009-11-17",42.7,18.3,196,4075,"MALE"
"117",117,"PAL0910",117,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N63A1","Yes","2009-11-18",38.6,17,188,2900,"FEMALE"
"118",118,"PAL0910",118,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N63A2","Yes","2009-11-18",37.3,20.5,199,3775,"MALE"
"119",119,"PAL0910",119,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N64A1","Yes","2009-11-22",35.7,17,189,3350,"FEMALE"
"120",120,"PAL0910",120,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N64A2","Yes","2009-11-22",41.1,18.6,189,3325,"MALE"
"121",121,"PAL0910",121,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N66A1","No","2009-11-17",36.2,17.2,187,3150,"FEMALE"
"122",122,"PAL0910",122,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N66A2","No","2009-11-17",37.7,19.8,198,3500,"MALE"
"123",123,"PAL0910",123,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N67A1","Yes","2009-11-16",40.2,17,176,3450,"FEMALE"
"124",124,"PAL0910",124,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N67A2","Yes","2009-11-16",41.4,18.5,202,3875,"MALE"
"125",125,"PAL0910",125,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N69A1","Yes","2009-11-18",35.2,15.9,186,3050,"FEMALE"
"126",126,"PAL0910",126,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N69A2","Yes","2009-11-18",40.6,19,199,4000,"MALE"
"127",127,"PAL0910",127,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N71A1","Yes","2009-11-21",38.8,17.6,191,3275,"FEMALE"
"128",128,"PAL0910",128,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N71A2","Yes","2009-11-21",41.5,18.3,195,4300,"MALE"
"129",129,"PAL0910",129,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N72A1","Yes","2009-11-18",39,17.1,191,3050,"FEMALE"
"130",130,"PAL0910",130,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N72A2","Yes","2009-11-18",44.1,18,210,4000,"MALE"
"131",131,"PAL0910",131,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N73A1","No","2009-11-23",38.5,17.9,190,3325,"FEMALE"
"132",132,"PAL0910",132,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N73A2","No","2009-11-23",43.1,19.2,197,3500,"MALE"
"133",133,"PAL0910",133,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N76A1","Yes","2009-11-10",36.8,18.5,193,3500,"FEMALE"
"134",134,"PAL0910",134,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N76A2","Yes","2009-11-10",37.5,18.5,199,4475,"MALE"
"135",135,"PAL0910",135,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N77A1","Yes","2009-11-13",38.1,17.6,187,3425,"FEMALE"
"136",136,"PAL0910",136,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N77A2","Yes","2009-11-13",41.1,17.5,190,3900,"MALE"
"137",137,"PAL0910",137,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N78A1","Yes","2009-11-16",35.6,17.5,191,3175,"FEMALE"
"138",138,"PAL0910",138,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N78A2","Yes","2009-11-16",40.2,20.1,200,3975,"MALE"
"139",139,"PAL0910",139,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N79A1","No","2009-11-16",37,16.5,185,3400,"FEMALE"
"140",140,"PAL0910",140,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N79A2","No","2009-11-16",39.7,17.9,193,4250,"MALE"
"141",141,"PAL0910",141,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N80A1","Yes","2009-11-14",40.2,17.1,193,3400,"FEMALE"
"142",142,"PAL0910",142,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N80A2","Yes","2009-11-14",40.6,17.2,187,3475,"MALE"
"143",143,"PAL0910",143,"Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N81A1","Yes","2009-11-16",32.1,15.5,188,3050,"FEMALE"
